compare,timestampA,timestampB,hungarian
0,2008-06-05_13-46-47,2008-06-07_15-19-18,0.8803050511268423
1,2008-06-07_15-19-18,2008-06-27_09-08-44,0.8711151970172889
2,2008-06-27_09-08-44,2008-07-08_02-41-21,0.87529276516159
3,2008-07-08_02-41-21,2008-08-27_14-59-15,0.8910789808479187
4,2008-08-27_14-59-15,2008-09-09_12-58-57,0.8879840025978701
5,2008-09-09_12-58-57,2008-09-15_10-24-22,0.8688434103260858
6,2008-09-15_10-24-22,2008-09-25_09-03-14,0.8794752038043467
7,2008-09-25_09-03-14,2008-09-25_12-51-24,0.8888028588445493
8,2008-09-25_12-51-24,2008-10-06_08-55-23,0.8712864721485426
9,2008-10-06_08-55-23,2008-10-06_09-15-39,0.8783570954907163
10,2008-10-06_09-15-39,2008-10-06_09-16-43,0.8913893344025658
11,2008-10-06_09-16-43,2008-10-14_15-16-20,0.8956896551724136
12,2008-10-14_15-16-20,2008-10-17_14-05-53,0.8624467638166934
13,2008-10-17_14-05-53,2008-10-27_14-15-26,0.8902243127692694
14,2008-10-27_14-15-26,2008-10-27_22-02-54,0.888486299108616
15,2008-10-27_22-02-54,2008-10-30_08-05-36,0.8870062103583143
16,2008-10-30_08-05-36,2008-11-11_11-05-57,0.8885942963196175
17,2008-11-11_11-05-57,2008-11-14_00-35-40,0.8687435696942255
18,2008-11-14_00-35-40,2008-12-22_19-16-14,0.8794106753364347
19,2008-12-22_19-16-14,2008-12-22_20-18-56,0.8802065688907246
20,2008-12-22_20-18-56,2008-12-29_13-55-44,0.8837512910555666
21,2008-12-29_13-55-44,2008-12-31_00-31-38,0.8663962967514657
22,2008-12-31_00-31-38,2009-02-05_07-50-54,0.8656504586567448
23,2009-02-05_07-50-54,2009-02-18_19-47-35,0.8779427801655019
24,2009-02-18_19-47-35,2009-02-20_14-37-43,0.8778673631614798
25,2009-02-20_14-37-43,2009-02-24_07-20-53,0.857974830778179
26,2009-02-24_07-20-53,2009-02-24_18-42-38,0.8579497907949788
27,2009-02-24_18-42-38,2009-03-14_11-30-56,0.8818196509372964
28,2009-03-14_11-30-56,2009-08-01_01-40-34,0.8629040077569486
29,2009-08-01_01-40-34,2009-08-25_14-52-08,-1.0
30,2009-08-25_14-52-08,2009-09-14_16-00-24,-1.0
